iata_code;city;name;latitude_deg;longitude_deg;elevation_ft
WRL;Worland, WY;Worland Municipal Airport;43.965698;-107.950996;4227
WTK;Noatak, AK;Noatak Airport;67.5661010742;-162.9750061035;88
WWA;Wasilla, AK;Wasilla Airport;61.5717010498;-149.539993286;354
WWD;Wildwood, NJ;Cape May County Airport;39.0084991455;-74.9083023071;23
WWR;Woodward, OK;West Woodward Airport;36.438;-99.5226667;2189
WYS;West Yellowstone, MT;Yellowstone Airport;44.68840027;-111.1179962;6649
XNA;Fayetteville/Springdale/Rogers, AR;Northwest Arkansas Regional Airport;36.281898;-94.306801;1287
XWA;Williston, ND;Williston Basin International Airport;48.258387;-103.748797;2344
YAK;Yakutat, AK;Yakutat Airport;59.508717;-139.660435;33
YIP;Detroit, MI;Willow Run Airport;42.23789978;-83.53040314;716
YKM;Yakima, WA;Yakima Air Terminal McAllister Field;46.56819916;-120.5439987;1099
YKN;Yankton, SD;Chan Gurney Municipal Airport;42.9166984558;-97.3859024048;1306
YNG;Youngstown/Warren, OH;Youngstown Warren Regional Airport;41.26070023;-80.67910004;1192
ZZV;Zanesville, OH;Zanesville Municipal Airport;39.9444007874;-81.8920974731;900
