iata_code;city;name;latitude_deg;longitude_deg;elevation_ft
MFH;Mesquite, NV;Mesquite International Airport;36.834999;-114.055;1978
MGE;Marietta, GA;Dobbins Air Reserve Base;33.91540146;-84.51629639;1068
MGM;Montgomery, AL;Montgomery Regional (Dannelly Field) Airport;32.30059814;-86.39399719;221
MIA;Miami, FL;Miami International Airport;25.7931995392;-80.2906036377;8
MKE;Milwaukee, WI;General Mitchell International Airport;42.9472007751;-87.8965988159;723
MLI;Moline, IL;Quad City International Airport;41.4485015869;-90.5074996948;590
MLU;Monroe, LA;Monroe Regional Airport;32.5108985901;-92.0376968384;79
MOB;Mobile, AL;Mobile Regional Airport;30.6912002563;-88.2427978516;219
MSP;Minneapolis, MN;Minneapolis–Saint Paul International Airport / Wold–Chamberlain Field;44.882;-93.221802;841
MSY;New Orleans, LA;Louis Armstrong New Orleans International Airport;29.9934005737;-90.2580032349;4
MUO;Mountain Home, ID;Mountain Home Air Force Base;43.043598;-115.872002;2996
NPH;Nephi, UT;Nephi-Central Utah International Airport;39.7388;-111.872002;5022
OAK;Oakland, CA;Metropolitan Oakland International Airport;37.721298;-122.221001;9
OKC;Oklahoma City, OK;Will Rogers World Airport;35.3931007385;-97.6007003784;1295
OMA;Omaha, NE;Eppley Airfield;41.3032;-95.894096;984
ONT;Ontario, CA;Ontario International Airport;34.0559997559;-117.6009979248;944
ORD;Chicago, IL;Chicago O'Hare International Airport;41.9786;-87.9048;672
ORF;Norfolk, VA;Norfolk International Airport;36.8945999146;-76.2012023926;26
PAM;Panama City, FL;Tyndall Air Force Base;30.0695991516;-85.5754013062;17
PBI;West Palm Beach, FL;Palm Beach International Airport;26.6832008362;-80.0955963135;19
PDX;Portland, OR;Portland International Airport;45.58869934;-122.5979996;31
PHF;Newport News, VA;Newport News Williamsburg International Airport;37.13190079;-76.49299622;42
PHL;Philadelphia, PA;Philadelphia International Airport;39.8718986511;-75.2410964966;36
PHX;Phoenix, AZ;Phoenix Sky Harbor International Airport;33.435302;-112.005905;1135
PIA;Peoria, IL;General Wayne A. Downing Peoria International Airport;40.6641998291;-89.6932983398;660
PIT;Pittsburgh, PA;Pittsburgh International Airport;40.49150085;-80.23290253;1203
PRC;Prescott, AZ;Prescott International Airport - Ernest A. Love Field;34.654499;-112.419998;5045
PVD;Providence, RI;Theodore Francis Green State Airport;41.732601;-71.420403;55
PWM;Portland, ME;Portland International Jetport;43.646198;-70.309303;76
RDU;Raleigh/Durham, NC;Raleigh Durham International Airport;35.8776016235;-78.7874984741;435
RFD;Chicago/Rockford, IL;Chicago Rockford International Airport;42.195400238;-89.0971984863;742
RIC;Richmond, VA;Richmond International Airport;37.5051994324;-77.3197021484;167
RND;Universal City, TX;Randolph Air Force Base;29.52969933;-98.27890015;761
RNO;Reno, NV;Reno Tahoe International Airport;39.4990997314;-119.7679977417;4415
ROA;Roanoke, VA;Roanoke–Blacksburg Regional Airport;37.3255;-79.975403;1175
RST;Rochester, MN;Rochester International Airport;43.9082984924;-92.5;1317
RSW;Fort Myers, FL;Southwest Florida International Airport;26.5361995697;-81.7552032471;30
SAN;San Diego, CA;San Diego International Airport;32.7336006165;-117.190002441;17
SAT;San Antonio, TX;San Antonio International Airport;29.533701;-98.469803;809
SAV;Savannah, GA;Savannah Hilton Head International Airport;32.12760162;-81.20210266;50
SDF;Louisville, KY;Louisville Muhammad Ali International Airport;38.1744;-85.736;501
SEA;Seattle, WA;Seattle Tacoma International Airport;47.449001;-122.308998;433
SFB;Orlando, FL;Orlando Sanford International Airport;28.7775993347;-81.2375030518;55
SFO;San Francisco, CA;San Francisco International Airport;37.6189994812;-122.375;13
SGF;Springfield, MO;Springfield Branson National Airport;37.24570084;-93.38860321;1268
SGU;St George, UT;Saint George-Southwest Utah International Airport;37.036389;-113.510306;2941
SJC;San Jose, CA;Norman Y. Mineta San Jose International Airport;37.362598;-121.929001;62
SKA;Spokane, WA;Fairchild Air Force Base;47.6151008606;-117.65599823;2461
SLC;Salt Lake City, UT;Salt Lake City International Airport;40.785749;-111.979746;4227
SMF;Sacramento, CA;Sacramento International Airport;38.695400238;-121.591003418;27
SPI;Springfield, IL;Abraham Lincoln Capital Airport;39.84410095;-89.67790222;598
SPS;Wichita Falls, TX;Sheppard Air Force Base-Wichita Falls Municipal Airport;33.9888;-98.491898;1019
SRQ;Sarasota/Bradenton, FL;Sarasota Bradenton International Airport;27.3953990936;-82.554397583;30
SSC;Sumter, SC;Shaw Air Force Base;33.97269821;-80.47059631;241
STL;St Louis, MO;St Louis Lambert International Airport;38.748697;-90.370003;618
SUS;St Louis, MO;Spirit of St Louis Airport;38.6621017456;-90.6520004272;463
SUX;Sioux City, IA;Sioux Gateway Airport / Brigadier General Bud Day Field;42.397605;-96.382237;1098
SYR;Syracuse, NY;Syracuse Hancock International Airport;43.1111984253;-76.106300354;421
SZL;Knob Noster, MO;Whiteman Air Force Base;38.7303009033;-93.5478973389;870
TCM;Tacoma, WA;McChord Air Force Base;47.1376991272;-122.475997925;322
TIK;Oklahoma City, OK;Tinker Air Force Base;35.4146995544;-97.3865966797;1291
TLH;Tallahassee, FL;Tallahassee Regional Airport;30.3964996338;-84.3503036499;81
TPA;Tampa, FL;Tampa International Airport;27.9755001068;-82.533203125;26
TRI;Bristol/Johnson/Kingsport, TN;Tri-Cities Regional TN/VA Airport;36.475201;-82.407401;1519
TUL;Tulsa, OK;Tulsa International Airport;36.1983985901;-95.8880996704;677
TUS;Tucson, AZ;Tucson International Airport / Morris Air National Guard Base;32.115004;-110.938053;2643
TYS;Knoxville, TN;McGhee Tyson Airport;35.81100082;-83.9940033;981
UTH;Salt Lake City, UT;South Valley International Airport;40.619499;-111.992996;4607
VGT;Las Vegas, NV;North Las Vegas Metropolitan International Airport;36.210701;-115.194;2205
VIS;Visalia, CA;Visalia International Airport;36.318699;-119.392998;295
VPS;Valparaiso, FL;Destin-Fort Walton Beach Airport;30.4832;-86.525398;87
WRB;Warner Robins, GA;Robins Air Force Base;32.6400985718;-83.5919036865;294
YUM;Yuma, AZ;Yuma International Airport / Marine Corps Air Station Yuma;32.656601;-114.606003;213
